record_id,vehicle_type,vehicle_brand,vehicle_model,vehicle_age,km_driven,last_service_date,previous_repair_history,symptoms,engine_warning_indicator,recent_maintenance,parts_replaced,problem_category,actual_repair_cost,service_date
156,bike,Hero,Passion Pro,2,48193,10 months ago,brake pads,Handbrake parking brake not holding vehicle on slope loose brake cable,no,brake tune,handbrake cable adjustment,Brake System,300,2026-09-24
157,cycle,BSA,BSA Mach,6,1734,11 months ago,general service,Clutch lever extremely tight and hard to press stiff clutch cable,no,brake tune,clutch cable replacement,Transmission,100,2026-09-24
158,cycle,Leader,Leader Beast,1,2703,1 months ago,brake pads,Vehicle horn completely dead or making weak croaking sound,no,filters,horn/horn switch,Battery/Electrical,60,2026-09-24
159,bike,Suzuki,Gixxer 150,8,36202,5 months ago,brake pads,Vehicle pulling to left uneven tyre tread wear wheel alignment needed,no,oil change,alignment balancing weight,Tyres/Wheels,500,2026-09-24
160,car,Tata,Altroz,2,104474,7 months ago,brake pads,Rear shock absorber squeaking and vehicle bouncing excessively,no,brake tune,shock absorber replacement,Suspension,5400,2026-09-24
161,bike,TVS,Raider 125,9,37959,7 months ago,battery replacement,Headlight beam very dim and indicator flasher blinking too fast,no,brake tune,headlight bulb/relay,Battery/Electrical,350,2026-09-24
162,bike,Bajaj,Pulsar 150,2,45981,3 months ago,oil change,Engine misfiring jerking severely during acceleration fouled spark plugs,no,oil change,spark plugs / ignition coil,Engine,600,2026-09-24
163,car,Tata,Harrier,7,79973,6 months ago,battery replacement,Steering wheel and handlebar vibrating heavily at high speed bent rim,no,brake tune,rim trueing / wheel balancing,Tyres/Wheels,800,2026-09-24
164,car,Hyundai,Verna,11,122864,11 months ago,brake pads,Vehicle pulling to left uneven tyre tread wear wheel alignment needed,no,filters,alignment balancing weight,Tyres/Wheels,550,2026-09-24
165,bike,Royal Enfield,Classic 350,10,23111,8 months ago,none,Front suspension fork leaking oil bottoming out over potholes,no,greasing,fork oil seals / fork oil,Suspension,1750,2026-09-24
